,Unnamed: 0,date,number of rooms,security level of the community,residence space,building space,basement space,aboveground space,noise level,waterfront,view,air quality level,building year,decoration year,district,city,zip code,region,exchange rate,lat,lng,is_renovated,total cost,label
16,16,2014/5/2 0:00,3,1,1090,6435,0,1090,1,0,0,4,1955,2009,2504 SW Portland Ct,Seattle,WA 98106,USA,6.221002758,47.533358,-122.3649838,1,340677.4008,1
17,17,2014/5/2 0:00,4,3,3110,7231,0,3110,2,0,0,3,1997,0,11224 SE 306th Pl,Auburn,WA 98092,USA,7.246575816,47.3278367,-122.1910743,0,345433.996,1
18,18,2014/5/2 0:00,4,1.75,1560,8700,0,1560,1,0,0,4,1967,0,14104 119th Ave NE,Kirkland,WA 98034,USA,7.027655904,47.7274452,-122.1812503,0,361861.6843,1
19,19,2014/5/2 0:00,3,3.25,1320,1327,280,1040,2,0,0,3,2008,0,3400 21st Ave W,Seattle,WA 98199,USA,6.712977807,47.6506106,-122.3829756,0,384647.0649,1
20,20,2014/5/2 0:00,3,2,1960,13100,310,1650,1,0,2,5,1957,0,17825 4th Ave SW,Normandy Park,WA 98166,USA,7.749723765,47.4418678,-122.3402004,0,358200.5067,1
21,21,2014/5/2 0:00,3,2.5,1930,10460,0,1930,2,0,0,3,1996,0,4314 NE 6th Pl,Renton,WA 98059,USA,6.378198211,47.4938239,-122.1610827,0,354759.9672,1
22,22,2014/5/2 0:00,3,1.5,1570,6700,0,1570,1,0,0,4,1956,0,15424 SE 9th St,Bellevue,WA 98007,USA,7.903107225,47.602231,-122.1339661,0,400244.7706,1
23,23,2014/5/2 0:00,3,2.25,2000,8030,1000,1000,1,0,0,4,1963,0,857 170th Pl NE,Bellevue,WA 98008,USA,6.369354964,47.6186964,-122.1138201,0,381422.8528,1
24,24,2014/5/2 0:00,4,1.5,1920,10000,850,1070,1,0,0,4,1954,1979,4071 156th Ave SE,Bellevue,WA 98006,USA,6.441283761,47.5724857,-122.1331404,1,394551.9094,1
25,25,2014/5/2 0:00,4,1,1450,8800,0,1450,1,0,0,4,1954,1979,3922 154th Ave SE,Bellevue,WA 98006,USA,6.708046609,47.5746142,-122.1349397,1,424329.178,1
26,26,2014/5/2 0:00,3,2.5,1770,1235,170,1600,3,0,0,3,2007,0,1156 N 93rd St,Seattle,WA 98103,USA,6.020616795,47.6965224,-122.3420878,0,431010.2051,1
27,27,2014/5/2 0:00,3,2.25,1970,35100,0,1970,2,0,0,4,1977,0,26069 SE 154th St,Issaquah,WA 98027,USA,6.843867937,47.46352,-121.9908061,0,257796.15,0
28,28,2014/5/2 0:00,3,2.5,1770,2875,0,1770,2,0,0,3,1990,2009,4458 51st Ave SW,Seattle,WA 98116,USA,6.761138743,47.5631167,-122.3972606,1,425730.8829,1
29,29,2014/5/2 0:00,4,2.25,2160,8119,1080,1080,1,0,0,3,1966,1913,12211 SE 65th St,Bellevue,WA 98006,USA,7.235229142,47.5443615,-122.1770147,1,400448.6138,1
30,30,2014/5/2 0:00,3,2.5,1270,1180,0,1270,3,0,0,3,2001,0,2640 NW 56th St,Seattle,WA 98107,USA,6.517622688,47.669699,-122.3919357,0,444731.8241,1
31,31,2014/5/2 0:00,3,2.5,2680,5539,0,2680,2,0,0,3,2013,1923,13800 453rd Ave SE,North Bend,WA 98045,USA,7.433178443,47.4755672,-121.7348371,1,421627.6787,1
32,32,2014/5/2 0:00,3,1.75,1710,7320,0,1710,1,0,0,3,1948,1994,Burke-Gilman Trail,Lake Forest Park,WA 98155,USA,7.396501561,47.7468045,-122.2837253,1,418437.6374,1
33,33,2014/5/2 0:00,5,2.5,2210,9655,750,1460,1,0,0,3,1976,0,19334 89th Ave NE,Bothell,WA 98011,USA,7.394445538,47.7697709,-122.2222663,0,444085.9025,1
34,34,2014/5/2 0:00,4,2.5,2710,35868,0,2710,2,0,0,3,1989,0,23762 SE 253rd Pl,Maple Valley,WA 98038,USA,6.608323589,47.3750419,-122.0220106,0,330944.6638,1
35,35,2014/5/2 0:00,4,1.75,2190,125452,0,2190,1,0,2,3,1968,1997,36850 204th Ave SE,Auburn,WA 98092,USA,7.678168411,47.2706277,-122.0691828,1,324270.3543,1
36,36,2014/5/2 0:00,4,1.75,1600,6380,470,1130,1,0,0,3,1959,1989,2021 NE 100th St,Seattle,WA 98125,USA,6.477085168,47.7010256,-122.3059126,1,461916.5699,1
37,37,2014/5/2 0:00,4,2.5,2860,3345,670,2190,2,0,0,3,2004,2003,20120 137th Ave NE,Woodinville,WA 98072,USA,6.955319279,47.773513,-122.1580064,1,498071.1934,1
38,38,2014/5/2 0:00,3,1.75,2910,35200,0,2910,1.5,0,0,3,1979,2014,3923 229th Pl SE,Sammamish,WA 98075,USA,6.563174597,47.5746867,-122.0346475,1,515845.8441,2
39,39,2014/5/2 0:00,4,2.5,1940,10500,800,1140,1,0,0,4,1976,1992,9105 170th Ave NE,Redmond,WA 98052,USA,7.562160105,47.6830723,-122.1139713,1,501922.3513,2
40,40,2014/5/2 0:00,4,2.5,3310,6500,0,3310,2,0,0,3,2012,1912,35229 SE Terrace St,Snoqualmie,WA 98065,USA,7.959386377,47.5150112,-121.8699222,1,508823.9285,2
41,41,2014/5/2 0:00,3,1.75,2330,14892,360,1970,1,0,0,3,1980,0,1833 220th Pl NE,Sammamish,WA 98074,USA,7.095021468,47.6267231,-122.0460548,0,554007.0643,2
42,42,2014/5/2 0:00,3,2.5,3240,33151,0,3240,2,0,2,3,1995,0,30822 36th Ct SW,Federal Way,WA 98023,USA,6.70055996,47.3255817,-122.3778645,0,499141.7747,1
43,43,2014/5/2 0:00,4,2.5,2730,12261,0,2730,2,0,0,3,1991,0,10212 NE 156th Pl,Bothell,WA 98011,USA,6.914442703,47.7417512,-122.2050576,0,568230.2679,2
44,44,2014/5/2 0:00,3,1.75,2360,7291,1000,1360,1,0,0,4,1948,0,8436-8438 41st Ave SW,Seattle,WA 98136,USA,6.317630578,47.5275026,-122.3835361,0,595671.409,2
45,45,2014/5/2 0:00,4,3.25,2730,54014,1170,1560,1,0,0,3,2007,0,9927 174th Ave SE,Renton,WA 98059,USA,6.859682624,47.513255,-122.1098596,0,401335.9025,1
46,46,2014/5/2 0:00,4,2.5,2820,8408,0,2820,2,0,0,3,2014,0,17052 4th Ave NE,Shoreline,WA 98155,USA,6.36074285,47.7537742,-122.3250803,0,585009.0897,2
47,47,2014/5/2 0:00,3,2.25,1750,1572,280,1470,2.5,0,0,3,2005,0,3140 Franklin Ave E,Seattle,WA 98102,USA,6.605479643,47.6498106,-122.3208711,0,622247.6108,2
48,48,2014/5/2 0:00,4,2.75,2710,37277,0,2710,2,0,0,3,2000,0,26429 SE 154th Pl,Issaquah,WA 98027,USA,6.070141424,47.4634486,-121.9873405,0,496382.0684,1
49,49,2014/5/2 0:00,4,2,1520,6200,0,1520,1.5,0,0,3,1945,2010,6811 55th Ave NE,Seattle,WA 98115,USA,7.608990677,47.6780179,-122.2692144,1,609823.513,2
50,50,2014/5/2 0:00,4,2,1820,5000,180,1640,1.5,0,1,3,1945,2010,7201-7399 55th Ave NE,Seattle,WA 98115,USA,6.552606479,47.6812233,-122.2689874,1,627241.6696,2
51,51,2014/5/2 0:00,4,2.25,2200,11250,900,1300,1.5,0,0,5,1920,0,1036 4th St,Kirkland,WA 98033,USA,6.54788932,47.6845507,-122.2010494,0,676292.2461,2
52,52,2014/5/2 0:00,3,2.5,2390,6550,950,1440,1,0,2,4,1955,2009,3628 59th Ave SW,Seattle,WA 98116,USA,7.685164244,47.5714045,-122.4081273,1,729203.2963,3
53,53,2014/5/2 0:00,3,1.75,2240,10578,690,1550,2,0,0,5,1923,0,3225 NE 92nd St,Seattle,WA 98115,USA,6.218582162,47.6953557,-122.2921764,0,744525.0448,3
54,54,2014/5/2 0:00,5,3.25,3660,11995,0,3660,2,0,2,3,2006,0,7425 Snowberry Ave SE,Snoqualmie,WA 98065,USA,7.802356216,47.5336787,-121.8597116,0,781153.7938,3
55,55,2014/5/2 0:00,3,2.5,2600,4750,900,1700,1,0,0,4,1951,1999,3314 NW 75th St,Seattle,WA 98117,USA,6.490620422,47.6832759,-122.4001495,1,774378.6635,3
56,56,2014/5/2 0:00,3,2,2710,4500,830,1880,1.5,0,0,4,1929,0,6222 30th Ave NE,Seattle,WA 98115,USA,6.182380239,47.6746781,-122.2950956,0,804826.2016,3
57,57,2014/5/2 0:00,4,2.5,3310,42998,0,3310,2,0,0,3,2001,0,15712 NE 136th Pl,Redmond,WA 98052,USA,7.868323021,47.7231903,-122.130783,0,543559.7828,2
58,58,2014/5/2 0:00,5,2.75,2910,9480,0,2910,1.5,0,0,3,1939,1969,3534 46th Ave NE,Seattle,WA 98105,USA,6.85237045,47.6550013,-122.2778372,1,1158880.085,3
59,59,2014/5/3 0:00,3,1,1010,9945,0,1010,1,0,0,4,1973,0,7528 N Fork Rd SE,Snoqualmie,WA 98065,USA,6.4636882,47.5321033,-121.7629394,0,295601.1973,0
60,60,2014/5/3 0:00,3,2.5,1650,14054,520,1130,1,0,0,4,1986,0,13256 242nd Pl SE,Issaquah,WA 98027,USA,6.520531852,47.482009,-122.0167927,0,343416.6789,1
61,61,2014/5/3 0:00,4,2.75,2920,6605,0,2920,2,0,0,3,2012,1912,5608 NE 5th Cir,Renton,WA 98059,USA,6.836105688,47.4910186,-122.1439933,1,583491.114,2
62,62,2014/5/4 0:00,4,2.5,2530,9933,520,2010,2,0,2,3,1990,2009,925 48th Ct,Auburn,WA 98092,USA,7.073425123,47.265438,-122.2160703,1,319281.4085,1
63,63,2014/5/4 0:00,3,2.5,2200,7350,630,1570,1,0,0,5,1988,0,13420 SE 182nd St,Renton,WA 98058,USA,6.046779165,47.4395341,-122.1609594,0,354772.0639,1
64,64,2014/5/4 0:00,4,2,2280,6010,1140,1140,1,0,0,3,1900,2005,205-206 Euclid Ave,Seattle,WA 98122,USA,6.270899122,47.6033311,-122.2891072,1,597646.6754,2
65,65,2014/5/4 0:00,2,2.5,2680,7392,0,2680,1,0,0,3,2004,2003,13134 234th Ct NE,Redmond,WA 98053,USA,6.055589845,47.7169084,-122.0262098,1,752298.2416,3
66,66,2014/5/4 0:00,3,2.5,2850,7130,860,1990,2,0,0,3,1980,0,151 Euclid Ave,Seattle,WA 98122,USA,6.243772672,47.6029883,-122.2889888,0,758864.2852,3
67,67,2014/5/5 0:00,2,1,810,7158,0,810,1,0,0,5,1944,0,12807 7th Ave S,Burien,WA 98168,USA,7.296828326,47.4881909,-122.3248824,0,200170.9693,0
68,68,2014/5/5 0:00,4,1.5,1240,9600,0,1240,1,0,0,3,1971,0,4924 SW 314th Pl,Federal Way,WA 98023,USA,7.591894639,47.3205621,-122.3969767,0,209204.0049,0
69,69,2014/5/5 0:00,2,1,1200,8063,0,1200,1,0,0,4,1958,1972,20220 8th Ave S,Des Moines,WA 98198,USA,7.72684238,47.4204027,-122.3238547,1,192625.6237,0
70,70,2014/5/5 0:00,3,1.75,1920,9306,920,1000,1,0,0,3,1984,0,30001-30021 55th Pl S,Auburn,WA 98001,USA,6.049017282,47.3319198,-122.2669632,0,236318.3097,0
71,71,2014/5/5 0:00,3,2,1550,15040,0,1550,1,0,0,4,1958,1972,18027 SE 128th St,Renton,WA 98059,USA,6.858465508,47.4872086,-122.099055,1,188059.6881,0
72,72,2014/5/5 0:00,3,1,1450,6000,0,1450,1,0,0,4,1953,1983,8681 Beacon Ave S,Seattle,WA 98118,USA,6.775490428,47.5239168,-122.2868555,1,265344.4257,0
73,73,2014/5/5 0:00,3,2,1050,10072,0,1050,1,0,0,3,1986,0,27106 NE Miller St,Duvall,WA 98019,USA,6.198315033,47.734079,-121.9760972,0,272973.6863,0
74,74,2014/5/5 0:00,4,2.75,2310,5000,0,2310,2,0,0,3,2006,0,22912 SE 268th Pl,Maple Valley,WA 98038,USA,7.595682627,47.3614424,-122.0349479,0,309057.3039,1
75,75,2014/5/5 0:00,3,2.5,1880,7838,0,1880,2,0,0,3,1994,0,17717 113th Pl SE,Renton,WA 98055,USA,6.974961159,47.4438258,-122.1901007,0,305173.5834,1
76,76,2014/5/5 0:00,4,2.5,2370,6500,0,2370,2,0,0,3,1998,2006,12621 SE 300th Way,Auburn,WA 98092,USA,6.745857027,47.3327726,-122.1731514,1,290543.0982,0
77,77,2014/5/5 0:00,2,1,1140,5250,0,1140,1.5,0,0,4,1949,1985,14017 Roslyn Pl N,Seattle,WA 98133,USA,6.577604475,47.7310334,-122.3409582,1,302819.1355,1
78,78,2014/5/5 0:00,5,1,1120,9022,0,1120,1.5,0,0,4,1962,0,14150 75th Ave NE,Kirkland,WA 98034,USA,7.428402362,47.7296221,-122.2401674,0,290787.8327,0
79,79,2014/5/5 0:00,2,1.5,1160,1438,0,1160,2,0,0,3,2001,0,1318 29th Ave S,Seattle,WA 98144,USA,6.508539724,47.5915657,-122.2950959,0,332836.8081,1
80,80,2014/5/5 0:00,3,3,1571,2017,0,1571,3,0,0,3,2008,0,14359 19th Ave NE,Seattle,WA 98125,USA,6.167811556,47.7337712,-122.308902,0,355532.0197,1
81,81,2014/5/5 0:00,4,1.75,1970,9389,830,1140,1,0,0,5,1960,0,1701 N 204th Pl,Shoreline,WA 98133,USA,7.988727564,47.7770899,-122.339098,0,311286.3754,1
82,82,2014/5/5 0:00,5,2.5,3090,12750,1340,1750,1,0,0,3,1968,1997,114 SW 292nd St,Federal Way,WA 98023,USA,7.839322233,47.3407902,-122.3350896,1,333883.9651,1
83,83,2014/5/5 0:00,3,2.5,2230,4000,0,2230,2,0,0,3,1954,2005,2601 21st Ave S,Seattle,WA 98144,USA,7.545823175,47.5801436,-122.3058342,1,398666.5706,1
84,84,2014/5/5 0:00,2,1.75,2110,9519,0,2110,1,0,0,2,1948,0,2120 NE 168th St,Shoreline,WA 98155,USA,6.737409588,47.7504786,-122.3059352,0,362381.5601,1
85,85,2014/5/5 0:00,2,1,840,5510,0,840,1,0,0,3,1955,2005,4515 SW Trenton St,Seattle,WA 98136,USA,7.900756381,47.5246483,-122.3909337,1,365980.4574,1
86,86,2014/5/5 0:00,2,3,1410,1240,270,1140,2,0,0,3,2006,0,9126 45th Ave SW,Seattle,WA 98136,USA,6.625341022,47.522009,-122.3899365,0,398159.5637,1
87,87,2014/5/5 0:00,3,2.25,1410,1332,0,1410,3,0,0,3,2005,0,8536 Interlake Ave N,Seattle,WA 98103,USA,6.908543321,47.6916132,-122.3400079,0,401724.1826,1
88,88,2014/5/5 0:00,3,2.25,1800,36704,440,1360,1,0,0,4,1978,2000,24502 SE Mirrormont Dr,Issaquah,WA 98027,USA,7.950086786,47.4687622,-122.0130935,1,364670.5737,1
89,89,2014/5/5 0:00,3,2.25,1620,998,80,1540,2.5,0,0,3,2010,0,935 4th Ave NE,Issaquah,WA 98029,USA,7.327000148,47.540052,-122.026969,0,411320.143,1
90,90,2014/5/5 0:00,3,2.5,1408,989,0,1408,3,0,0,3,2005,0,7809 12th Ave NE,Seattle,WA 98115,USA,6.118290625,47.6856818,-122.3152306,0,414318.2888,1
91,91,2014/5/5 0:00,3,2,1410,6030,0,1410,1.5,0,0,4,1930,0,901 N 97th St,Seattle,WA 98103,USA,6.595839667,47.6994583,-122.3470924,0,413941.3794,1
92,92,2014/5/5 0:00,2,2.5,1590,1426,0,1590,2,0,0,3,2014,0,1273 NE Hickory Ln,Issaquah,WA 98029,USA,7.330179162,47.5441595,-122.0129823,0,414839.6424,1
93,93,2014/5/5 0:00,5,2,1840,9240,300,1540,1,0,0,4,1942,1958,14013 Ashworth Ave N,Seattle,WA 98133,USA,6.53865355,47.730786,-122.3399588,1,432370.5702,1
94,94,2014/5/5 0:00,4,2,1480,3844,0,1480,1.5,0,0,5,1928,1970,519 N 104th St,Seattle,WA 98133,USA,7.602079056,47.7041959,-122.351928,1,430314.2882,1
95,95,2014/5/5 0:00,3,2.5,3040,4535,0,3040,2,0,0,3,2007,0,2027 Ferndale Ave NE,Renton,WA 98056,USA,7.516168047,47.5143661,-122.1849991,0,473925.34,1
96,96,2014/5/5 0:00,4,3,2340,7048,1000,1340,1,0,0,4,1979,0,14319 85th Pl NE,Kirkland,WA 98034,USA,6.458344621,47.7307554,-122.2271292,0,465116.3246,1
97,97,2014/5/5 0:00,4,1.75,2010,9211,540,1470,1,0,0,3,1977,2004,13313 127th Pl NE,Kirkland,WA 98034,USA,7.811246113,47.7205228,-122.1708957,1,426777.1524,1
98,98,2014/5/5 0:00,4,2.5,2910,6479,0,2910,2,0,0,3,2006,0,34010 SE Sorenson St,Snoqualmie,WA 98065,USA,7.7491122,47.5402045,-121.8869334,0,475518.2722,1
99,99,2014/5/5 0:00,4,1,2070,7519,910,1160,1,0,0,3,1963,2008,2506 166th Ave NE,Bellevue,WA 98008,USA,7.055712921,47.632001,-122.1189959,1,481630.4714,1
100,100,2014/5/5 0:00,3,2.5,1790,2700,0,1790,2,0,0,3,2010,0,4532 185th Ave SE,Issaquah,WA 98027,USA,6.034671033,47.5639959,-122.0929375,0,508342.5754,2
101,101,2014/5/5 0:00,3,1.75,1560,5520,780,780,1,0,0,4,1944,0,3434 33rd Ave W,Seattle,WA 98199,USA,7.113558836,47.6515264,-122.3992451,0,502756.287,2
102,102,2014/5/5 0:00,5,2.75,2740,8426,1370,1370,1,0,0,4,1960,2001,5211 116th Pl SE,Bellevue,WA 98006,USA,6.09387286,47.5562423,-122.1837915,1,512675.6633,2
103,103,2014/5/5 0:00,4,2.5,2910,6338,0,2910,2,0,0,3,2008,0,16026 SE 137th Terrace,Renton,WA 98059,USA,6.341038861,47.4804139,-122.1261331,0,538373.6243,2
104,104,2014/5/5 0:00,3,2.5,1940,3211,0,1940,2,0,0,3,2009,0,4509 185th Ave SE,Issaquah,WA 98027,USA,6.071957364,47.564456,-122.092989,0,537982.1307,2
105,105,2014/5/5 0:00,3,2.5,1900,8744,0,1900,2,0,0,3,1987,2000,22314 NE 11th Pl,Sammamish,WA 98074,USA,7.310999816,47.61996,-122.042937,1,506806.4741,2
106,106,2014/5/5 0:00,3,2.25,2010,6000,680,1330,1,0,0,3,1975,0,10204 168th Pl NE,Redmond,WA 98052,USA,6.278156551,47.6913178,-122.1151204,0,561297.1567,2
107,107,2014/5/5 0:00,2,1,2540,7000,1220,1320,1,0,0,5,1942,0,8624 Island Dr S,Seattle,WA 98118,USA,6.116115297,47.5260831,-122.2607113,0,541362.4291,2
108,108,2014/5/5 0:00,2,1,1770,8640,250,1520,1.5,0,0,3,1949,1998,353 NW 88th St,Seattle,WA 98117,USA,7.038668541,47.6925897,-122.3628826,1,554796.1075,2
109,109,2014/5/5 0:00,3,1.75,1670,39639,0,1670,1,0,0,4,1976,1992,1804 E Beaver Lake Dr SE,Sammamish,WA 98075,USA,7.064966637,47.5928631,-121.987984,1,451492.8739,1
110,110,2014/5/5 0:00,3,1.75,1880,6360,840,1040,1,0,0,4,1945,0,8040 39th Ave NE,Seattle,WA 98115,USA,7.43392241,47.6878487,-122.2860617,0,573004.2434,2
111,111,2014/5/5 0:00,4,1.75,2300,11700,340,1960,1,0,0,4,1977,0,18427 NE 26th Way,Redmond,WA 98052,USA,6.416538914,47.6331589,-122.0939372,0,585441.2694,2
112,112,2014/5/5 0:00,3,2,1800,5000,720,1080,1,0,0,4,1942,1982,2803 NE 62nd St,Seattle,WA 98115,USA,7.315469218,47.6738125,-122.2971806,1,582692.9054,2
113,113,2014/5/5 0:00,4,2.25,1990,7712,780,1210,1,0,0,3,1973,2013,18915 SE 42nd Pl,Issaquah,WA 98027,USA,7.249852838,47.5687309,-122.0871409,1,621613.7629,2
114,114,2014/5/5 0:00,4,2.5,2440,6651,0,2440,2,0,0,3,2014,0,9288-9358 Holman Rd NW,Seattle,WA 98117,USA,7.57440661,47.6969954,-122.371391,0,618778.8549,2
115,115,2014/5/5 0:00,3,1.5,2160,9000,760,1400,1,0,2,4,1949,1985,13026 10th Ave NW,Seattle,WA 98177,USA,6.67339354,47.7241317,-122.3688303,1,622924.6315,2
116,116,2014/5/5 0:00,3,2.5,1680,2000,0,1680,3,0,0,3,1909,1998,3503 NE 44th St,Seattle,WA 98105,USA,7.704273264,47.6603665,-122.2900597,1,659917.4109,2
117,117,2014/5/5 0:00,3,2.5,2490,4343,0,2490,2,0,0,3,2003,0,3187 NE Larkspur Ln,Issaquah,WA 98029,USA,6.6463109,47.5493365,-121.9929221,0,698372.863,2
118,118,2014/5/5 0:00,4,2.5,2450,4247,0,2450,2,0,0,3,2013,1923,17122 NE 117th St,Redmond,WA 98052,USA,7.618508304,47.7050655,-122.1119573,1,684500.1539,2
119,119,2014/5/5 0:00,4,2.5,3180,21904,0,3180,2,0,3,3,2000,0,17132 SE 100th St,Renton,WA 98059,USA,6.736605589,47.5149566,-122.1173811,0,692213.3541,2
120,120,2014/5/5 0:00,4,2.5,2800,5900,1140,1660,1,0,0,3,1963,2008,7052 39th Ave NE,Seattle,WA 98115,USA,7.553723257,47.6809207,-122.2858775,1,713233.2971,3
121,121,2014/5/5 0:00,4,2.5,2120,10202,500,1620,1,0,0,4,1960,2001,12645 SE 27th St,Bellevue,WA 98005,USA,7.402041283,47.585775,-122.169997,1,732530.7011,3
122,122,2014/5/5 0:00,3,2,2350,5700,540,1810,1.5,0,0,4,1939,1989,2171 Boyer Ave E,Seattle,WA 98112,USA,7.767724558,47.638952,-122.3100525,1,745116.6405,3
123,123,2014/5/5 0:00,4,2.5,2730,10281,0,2730,2,0,2,3,1996,0,23140 NE 14th Ct,Sammamish,WA 98074,USA,6.387260194,47.6226876,-122.0291083,0,773148.4886,3
124,124,2014/5/5 0:00,3,2.5,3240,7857,0,3240,2,0,0,3,1994,0,22721-22727 SE 27th St,Sammamish,WA 98075,USA,6.909407491,47.585488,-122.0383484,0,761014.403,3
125,125,2014/5/5 0:00,5,2.5,3180,13806,0,3180,2,0,0,4,1990,0,11821 NE 48th Pl,Kirkland,WA 98033,USA,6.663166777,47.6519338,-122.1821678,0,717173.6405,3
126,126,2014/5/5 0:00,6,1.75,2920,5000,140,2780,2.5,0,0,4,1908,0,125 29th Ave,Seattle,WA 98122,USA,7.871275749,47.6024775,-122.295228,0,786247.104,3
127,127,2014/5/5 0:00,4,2.5,3400,9692,0,3400,2,0,0,3,2007,0,12001 173rd Pl NE,Redmond,WA 98052,USA,7.792567538,47.7079903,-122.1092431,0,794377.1999,3
128,128,2014/5/5 0:00,4,3,2170,4000,560,1610,2,0,0,4,1982,2011,120 31st Ave E,Seattle,WA 98112,USA,7.088075843,47.6195278,-122.2920538,1,817461.7207,3
129,129,2014/5/5 0:00,4,3,3690,9892,0,3690,2,0,0,3,1998,2006,1765 267th Ct SE,Sammamish,WA 98075,USA,6.062798931,47.5935706,-121.9822084,1,854336.4381,3
130,130,2014/5/5 0:00,4,4.25,4420,5750,1010,3410,2,0,0,3,2006,0,842 Summerhill Ridge Dr NW,Issaquah,WA 98027,USA,7.821919405,47.5403086,-122.0728519,0,864533.5493,3
131,131,2014/5/5 0:00,5,3.5,4490,6000,1290,3200,2,0,0,3,2006,0,792 Summerhill Ridge Dr NW,Issaquah,WA 98027,USA,6.28604995,47.5396633,-122.0728457,0,873412.4585,3
132,132,2014/5/5 0:00,5,2.75,3190,16920,1500,1690,1,0,3,3,1976,0,4529 135th Ave SE,Bellevue,WA 98006,USA,7.330325503,47.5641071,-122.1599131,0,948971.6671,3
133,133,2014/5/5 0:00,5,3.5,4010,8510,1160,2850,2,0,1,5,1971,0,3930 NE Belvoir Pl,Seattle,WA 98105,USA,6.285942376,47.6577501,-122.2858489,0,1369797.782,3
134,134,2014/5/5 0:00,7,8,13540,307752,4130,9410,3,0,4,3,1999,0,26408 NE 70th St,Redmond,WA 98053,USA,7.442177152,47.6674867,-121.9857535,0,1447812.808,3
135,135,2014/5/6 0:00,3,1.5,1420,8580,0,1420,1,0,0,3,1962,2003,32827 22nd Ave SW,Federal Way,WA 98023,USA,7.274198783,47.3075877,-122.3620495,1,115819.9906,0
136,136,2014/5/6 0:00,3,1,1010,7034,0,1010,1,0,0,3,1954,2005,207 NW 5th St,Renton,WA 98057,USA,6.203209507,47.4900101,-122.2205382,1,131740.9256,0
137,137,2014/5/6 0:00,3,1.5,800,8850,0,800,1,0,0,4,1959,0,1003 SW 307th St,Federal Way,WA 98023,USA,7.99793349,47.3266492,-122.3480581,0,134140.7103,0
